"Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"Cabela's Big Game Hunter 2010","PS3","2009","Sports","Activision Value",0.37,0,0,0.03,0.4
"Cabela's Outdoor Adventures (2009)","PS3","2009","Sports","Activision Value",0.21,0,0,0.02,0.23
"Call of Duty: Modern Warfare 2","PS3","2009","Shooter","Activision",4.99,3.69,0.38,1.63,10.69
"Call of Juarez: Bound in Blood","PS3","2009","Shooter","Ubisoft",0.35,0.38,0.01,0.16,0.89
"Cars: Race-O-Rama","PS3","2009","Racing","THQ",0.14,0.03,0,0.02,0.19
"Chaotic: Shadow Warriors","PS3","2009","Action","Activision",0.15,0,0,0.01,0.16
"Cloudy With a Chance of Meatballs","PS3","2009","Platform","Ubisoft",0.09,0.01,0,0.01,0.1
"Command & Conquer: Red Alert 3 Ultimate Edition","PS3","2009","Strategy","Electronic Arts",0.14,0.17,0,0.06,0.37
"Damnation","PS3","2009","Shooter","Codemasters",0.07,0.01,0,0.01,0.09
"Demon's Souls","PS3","2009","Role-Playing","Namco Bandai Games",0.97,0.34,0.35,0.18,1.84
"Destroy All Humans! Path of the Furon","PS3","2009","Action","THQ",0,0.08,0,0.01,0.09
"DiRT 2","PS3","2009","Racing","Codemasters",0.27,0.53,0,0.2,1.01
"Disney Sing It: Pop Hits","PS3","2009","Misc","Disney Interactive Studios",0.17,0.05,0,0.03,0.26
"DJ Hero","PS3","2009","Misc","Activision",0.42,0.34,0,0.14,0.91
"Dragon Age: Origins","PS3","2009","Role-Playing","Electronic Arts",0.96,0.44,0.08,0.22,1.69
"Dragon Ball: Raging Blast","PS3","2009","Fighting","Namco Bandai Games",0.37,0.19,0.11,0.1,0.77
"Dreamworks Madagascar Kartz","PS3","2009","Racing","Activision",0.19,0.07,0,0.04,0.3
"Dynasty Warriors 6 Empires","PS3","2009","Action","Tecmo Koei",0.14,0.03,0.15,0.02,0.34
"Dynasty Warriors: Strikeforce","PS3","2009","Action","Tecmo Koei",0.11,0.08,0.07,0.03,0.29
"Eat Lead: The Return of Matt Hazard","PS3","2009","Shooter","D3Publisher",0.09,0.02,0,0.01,0.13
"EyePet","PS3","2009","Simulation","Sony Computer Entertainment",0.35,0.52,0.04,0.09,0.99
"F.E.A.R. 2: Project Origin","PS3","2009","Shooter","Warner Bros. Interactive Entertainment",0.19,0.21,0.01,0.08,0.49
"Fairytale Fights","PS3","2009","Action","Playlogic Game Factory",0.11,0.04,0,0.02,0.17
"FIFA Soccer 10","PS3","2009","Sports","Electronic Arts",0.6,2.46,0.05,0.52,3.63
"Fight Night Round 4","PS3","2009","Fighting","Electronic Arts",0.92,0.41,0,0.21,1.53
"Final Fantasy XIII","PS3","2009","Role-Playing","Square Enix",1.74,1.24,1.87,0.52,5.36
"Fritz Chess","PS3","2009","Strategy","Deep Silver",0,0.03,0,0.01,0.04
"Fuel","PS3","2009","Racing","Codemasters",0.08,0.12,0,0.05,0.25
"G-Force","PS3","2009","Action","Disney Interactive Studios",0.13,0.06,0,0.03,0.22
"G.I. Joe: The Rise of Cobra","PS3","2009","Action","Electronic Arts",0.11,0.07,0,0.03,0.21
"Ghostbusters: The Video Game","PS3","2009","Action","Sony Computer Entertainment",0.34,0.37,0,0.15,0.86
"God of War Collection","PS3","2009","Action","Sony Computer Entertainment",1.7,0.46,0.06,0.41,2.63
"Guitar Hero 5","PS3","2009","Misc","Activision",0.53,0.4,0,0.17,1.1
"Guitar Hero: Metallica","PS3","2009","Misc","Activision",0.28,0.24,0,0.1,0.63
"Guitar Hero: Smash Hits","PS3","2009","Misc","Activision",0.2,0.11,0,0.05,0.36
"Guitar Hero: Van Halen","PS3","2009","Misc","Activision",0.14,0.09,0,0.04,0.28
"Hannah Montana: The Movie","PS3","2009","Adventure","Disney Interactive Studios",0.14,0.06,0,0.03,0.23
"Harry Potter and the Half-Blood Prince","PS3","2009","Action","Electronic Arts",0.15,0.13,0,0.06,0.34
"Heroes over Europe","PS3","2009","Simulation","Ubisoft",0.12,0.02,0,0.02,0.16
"Ice Age: Dawn of the Dinosaurs","PS3","2009","Action","Activision",0.13,0.04,0,0.02,0.19
"IL-2 Sturmovik: Birds of Prey","PS3","2009","Simulation","505 Games",0.34,0.26,0,0.1,0.7
"inFAMOUS","PS3","2009","Action","Sony Computer Entertainment",1.76,0.69,0.12,0.37,2.94
"Jurassic: The Hunted","PS3","2009","Shooter","Activision",0.17,0,0,0.02,0.19
"Karaoke Revolution","PS3","2009","Misc","Konami Digital Entertainment",0.07,0.03,0,0.01,0.11
"Katamari Forever","PS3","2009","Puzzle","Namco Bandai Games",0.26,0.05,0.06,0.04,0.42
"Killzone 2","PS3","2009","Shooter","Sony Computer Entertainment",1.4,1.07,0.08,0.47,3.02
"Legends of WrestleMania","PS3","2009","Fighting","THQ",0.3,0.17,0,0.07,0.55
"LEGO Indiana Jones 2: The Adventure Continues","PS3","2009","Action","Activision",0.47,0.3,0,0.13,0.91
"LEGO Rock Band","PS3","2009","Misc","Warner Bros. Interactive Entertainment",0.24,0.13,0,0.06,0.42
"Leisure Suit Larry: Box Office Bust","PS3","2009","Adventure","Codemasters",0.06,0.03,0,0.01,0.1
"Madden NFL 10","PS3","2009","Sports","Electronic Arts",2.03,0.13,0,0.21,2.37
"Major League Baseball 2K9","PS3","2009","Sports","Spike",0.16,0,0,0.01,0.17
"Makai Senki Disgaea 3 Append Disc: Raspberyl-hen Hajime Mashita","PS3","2009","Role-Playing","Nippon Ichi Software",0,0,0.01,0,0.01
"Marvel: Ultimate Alliance 2","PS3","2009","Role-Playing","Activision",0.49,0.16,0,0.09,0.75
"Mini Ninjas","PS3","2009","Action","Eidos Interactive",0.14,0.16,0,0.06,0.35
"MLB 09: The Show","PS3","2009","Sports","Sony Computer Entertainment",0.66,0,0,0.05,0.72
"MLB Front Office Manager","PS3","2009","Sports","Take-Two Interactive",0.07,0,0,0.01,0.08
"Mobile Suit Gundam Battlefield Record U.C.0081","PS3","2009","Action","Namco Bandai Games",0,0,0.24,0,0.24
"Monsters vs. Aliens","PS3","2009","Action","Activision",0.21,0.06,0,0.03,0.31
"Musou Orochi Z","PS3","2009","Action","Tecmo Koei",0,0,0.23,0,0.23
"MX vs. ATV Reflex","PS3","2009","Racing","THQ",0.52,0.26,0,0.12,0.91
"NBA 2K10","PS3","2009","Sports","Take-Two Interactive",0.75,0.01,0.01,0.07,0.84
"NBA Live 10","PS3","2009","Sports","Electronic Arts",0.46,0.03,0.01,0.05,0.54
"NCAA Basketball 10","PS3","2009","Sports","Electronic Arts",0.31,0,0,0.03,0.33
"NCAA Football 10","PS3","2009","Sports","Electronic Arts",0.75,0,0,0.06,0.81
"Need for Speed: Shift","PS3","2009","Racing","Electronic Arts",0.69,1.41,0.04,0.53,2.68
"NHL 10","PS3","2009","Sports","Electronic Arts",0.38,0.12,0,0.07,0.58
"NHL 2K10","PS3","2009","Sports","Take-Two Interactive",0.13,0.01,0,0.01,0.15
"Ninja Gaiden Sigma 2","PS3","2009","Action","Ubisoft Annecy",0.52,0.16,0.08,0.1,0.86
"Operation Flashpoint: Dragon Rising","PS3","2009","Shooter","Codemasters",0.23,0.46,0.05,0.17,0.92
"Overlord II","PS3","2009","Action","Codemasters",0.11,0.15,0,0.06,0.32
"Pinball Hall of Fame: The Williams Collection","PS3","2009","Misc","Crave Entertainment",0.2,0,0,0.02,0.22
"Planet 51","PS3","2009","Action","Sega",0.07,0.03,0,0.02,0.12
"Pro Evolution Soccer 2010","PS3","2009","Sports","Konami Digital Entertainment",0.3,1.27,0.46,0.26,2.28
"Pro Yaky? Spirits 6","PS3","2009","Sports","Konami Digital Entertainment",0,0,0.15,0,0.15
"Ratchet & Clank Future: A Crack in Time","PS3","2009","Platform","Sony Computer Entertainment",1.05,0.54,0.03,0.26,1.88
"Red Faction: Guerrilla","PS3","2009","Shooter","THQ",0.33,0.28,0.02,0.12,0.75
"Resident Evil 5","PS3","2009","Action","Capcom",1.96,1.43,1.08,0.65,5.11
"Rock Band Country Track Pack","PS3","2009","Misc","MTV Games",0.18,0,0,0.01,0.19
"Rock Band Track Pack: Classic Rock","PS3","2009","Misc","MTV Games",0.1,0,0,0.01,0.11
"Rock Band: Metal Track Pack","PS3","2009","Misc","MTV Games",0.11,0,0,0.01,0.12
"Rogue Warrior","PS3","2009","Shooter","Bethesda Softworks",0.11,0.02,0,0.01,0.14
"Sacred 2: Fallen Angel","PS3","2009","Role-Playing","Deep Silver",0.22,0.23,0.08,0.09,0.62
"SAW","PS3","2009","Action","Konami Digital Entertainment",0.13,0.17,0,0.07,0.37
"SBK09 Superbike World Championship","PS3","2009","Racing","Black Bean Games",0,0.01,0,0,0.02
"Scene It? Bright Lights! Big Screen!","PS3","2009","Misc","Warner Bros. Interactive Entertainment",0.1,0.01,0,0.01,0.13
"ShellShock 2: Blood Trails","PS3","2009","Shooter","Eidos Interactive",0.04,0.03,0,0.01,0.08
"SingStar Chartbreaker","PS3","2009","Misc","Sony Computer Entertainment",0,0.02,0,0.01,0.03
"SingStar Latino","PS3","2009","Misc","Sony Computer Entertainment",0.11,0,0,0.01,0.11
"SingStar Mallorca Party","PS3","2009","Misc","Sony Computer Entertainment",0,0.04,0,0.02,0.06
"SingStar Motown","PS3","2009","Misc","Sony Computer Entertainment",0,0.16,0,0.02,0.18
"SingStar Pop Edition","PS3","2009","Misc","Sony Computer Entertainment",0,0.19,0,0.05,0.23
"SingStar Queen","PS3","2009","Misc","Sony Computer Entertainment",0.11,0.26,0,0.08,0.45
"SingStar Take That","PS3","2009","Misc","Sony Computer Entertainment",0,0.3,0,0.03,0.33
"SingStar: Made In Germany","PS3","2009","Misc","Sony Computer Entertainment",0,0.07,0,0.02,0.09
"Skate 2","PS3","2009","Sports","Electronic Arts",0.46,0.26,0.01,0.12,0.85
"Ski-Doo Snowmobile Challenge","PS3","2009","Racing","PQube",0.1,0,0,0.01,0.1
"Sonic's Ultimate Genesis Collection","PS3","2009","Misc","Sega",1.34,0.62,0,0.31,2.27
"Star Wars The Clone Wars: Republic Heroes","PS3","2009","Action","LucasArts",0.19,0.19,0,0.07,0.46
"Stormrise","PS3","2009","Strategy","Sega",0.13,0.02,0,0.02,0.17
"Street Fighter IV","PS3","2009","Fighting","Capcom",2.02,1.06,0.58,0.53,4.19
"SuperCar Challenge","PS3","2009","Racing","System 3 Arcade Software",0,0.03,0,0.01,0.04
"Superstars V8 Racing","PS3","2009","Racing","Black Bean Games",0,0.02,0,0.01,0.04
"Tales of Vesperia","PS3","2009","Role-Playing","Namco Bandai Games",0,0,0.45,0,0.45
"Tears to Tiara Anecdotes: The Secret of Avalon","PS3","2009","Strategy","Aqua Plus",0,0,0.04,0,0.04
"Tekken 6","PS3","2009","Fighting","Namco Bandai Games",1.2,0.98,0.17,0.43,2.78
"Terminator Salvation","PS3","2009","Shooter","Warner Bros. Interactive Entertainment",0.13,0.29,0.01,0.11,0.54
"The Beatles: Rock Band","PS3","2009","Misc","MTV Games",0.67,0.3,0,0.15,1.13
"The BIGS 2","PS3","2009","Sports","Take-Two Interactive",0.12,0,0,0.01,0.13
"The Chronicles of Riddick: Assault on Dark Athena","PS3","2009","Shooter","Vivendi Games",0.12,0.1,0,0.04,0.25
"The Godfather II","PS3","2009","Action","Electronic Arts",0.41,0.22,0.01,0.11,0.75
"The King of Fighters XII","PS3","2009","Fighting","Ignition Entertainment",0.11,0.01,0.03,0.01,0.16
"The Last Guy","PS3","2009","Action","Sony Computer Entertainment",0,0,0.03,0,0.03
"The Lord of the Rings: Conquest","PS3","2009","Action","Electronic Arts",0.38,0.26,0,0.12,0.76
"The Saboteur","PS3","2009","Action","Electronic Arts",0.2,0.22,0,0.08,0.5
"Tiger Woods PGA Tour 10","PS3","2009","Sports","Electronic Arts",0.42,0.25,0,0.12,0.79
"Tom Clancy's HAWX","PS3","2009","Action","Ubisoft",0.21,0.22,0.05,0.09,0.57
"Tony Hawk: RIDE","PS3","2009","Sports","Activision",0.38,0.15,0,0.08,0.6
"Tornado Outbreak","PS3","2009","Action","Konami Digital Entertainment",0.08,0,0,0.01,0.09
"Toro to Morimori","PS3","2009","Misc","Sony Computer Entertainment",0,0,0.01,0,0.01
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)","PS3","2009","Shooter","Activision",0.28,0.3,0,0.12,0.7
"Trinity Universe","PS3","2009","Role-Playing","Nippon Ichi Software",0.07,0.06,0.03,0.02,0.18
"Trivial Pursuit","PS3","2009","Misc","Electronic Arts",0.12,0.12,0,0.05,0.29
"UFC 2009 Undisputed","PS3","2009","Fighting","THQ",1.07,0.45,0.01,0.24,1.77
"Uncharted 2: Among Thieves","PS3","2009","Action","Sony Computer Entertainment",3.27,2.25,0.21,1,6.73
"Up","PS3","2009","Action","THQ",0.15,0.07,0,0.03,0.25
"Vin Diesel: Wheelman","PS3","2009","Racing","Ubisoft",0.12,0.15,0,0.06,0.33
"Virtua Tennis 2009","PS3","2009","Sports","Sega",0.09,0.23,0,0.07,0.38
"Wanted: Weapons of Fate","PS3","2009","Shooter","Warner Bros. Interactive Entertainment",0.14,0.1,0.01,0.05,0.3
"Watchmen: The End is Nigh - The Complete Experience","PS3","2009","Action","Warner Bros. Interactive Entertainment",0.08,0.07,0,0.02,0.17
"Wet","PS3","2009","Shooter","Bethesda Softworks",0.22,0.27,0.01,0.11,0.63
"Where the Wild Things Are","PS3","2009","Platform","Warner Bros. Interactive Entertainment",0.09,0.01,0,0.01,0.11
"Winning Post World","PS3","2009","Sports","Tecmo Koei",0,0,0.05,0,0.05
"WipEout HD Fury","PS3","2009","Racing","Sony Computer Entertainment",0,0.06,0,0.02,0.08
"Wolfenstein","PS3","2009","Shooter","Activision",0.25,0.28,0,0.11,0.64
"World Sports Competition","PS3","2009","Sports","Hudson Soft",0.02,0,0,0.01,0.03
"Worms","PS3","2009","Strategy","Sony Computer Entertainment",0,0.02,0,0.01,0.03
"WSC REAL 09: World Snooker Championship","PS3","2009","Sports","Deep Silver",0,0.01,0,0,0.01
"WWE SmackDown vs. Raw 2010","PS3","2009","Fighting","THQ",0.48,0.49,0.01,0.2,1.18
"X-Blades","PS3","2009","Action","SouthPeak Games",0.07,0.03,0.02,0.02,0.14
"X-Men Origins: Wolverine - Uncaged Edition","PS3","2009","Action","Activision",0.31,0.32,0,0.13,0.75
"Yakuza 3","PS3","2009","Action","Sega",0.21,0.21,0.62,0.08,1.13
"2010 FIFA World Cup South Africa","PS3","2010","Sports","Electronic Arts",0.3,0.64,0.07,0.22,1.23
"A.C.E.: Another Century's Episode R","PS3","2010","Simulation","Namco Bandai Games",0,0,0.26,0,0.26
"Aliens vs Predator","PS3","2010","Shooter","Sega",0.41,0.47,0,0.18,1.05
"Alpha Protocol","PS3","2010","Role-Playing","Sega",0.19,0.18,0,0.07,0.43
"Apache: Air Assault","PS3","2010","Simulation","Activision",0.11,0.07,0,0.03,0.22
"Ape Escape","PS3","2010","Platform","Sony Computer Entertainment",0,0.03,0,0.01,0.05
"Ar tonelico Qoga: Knell of Ar Ciel","PS3","2010","Role-Playing","Tecmo Koei",0.08,0.01,0.13,0.01,0.24
"Army of Two: The 40th Day","PS3","2010","Shooter","Electronic Arts",0.44,0.27,0.01,0.12,0.85
"Assassin's Creed: Brotherhood","PS3","2010","Action","Ubisoft",1.87,0.57,0.11,0.3,2.84
"Atelier Totori: The Adventurer of Arland","PS3","2010","Role-Playing","Nippon Ichi Software",0.12,0.07,0.21,0.03,0.43
"Bakugan Battle Brawlers: Defenders of the Core","PS3","2010","Action","Activision",0.14,0.01,0,0.02,0.17
"Battlefield: Bad Company 2","PS3","2010","Shooter","Electronic Arts",1.33,1.12,0.08,0.45,2.97
"Beat Sketch!","PS3","2010","Misc","Sony Computer Entertainment",0,0,0.08,0,0.08
"Ben 10 Ultimate Alien: Cosmic Destruction","PS3","2010","Platform","D3Publisher",0.12,0.09,0,0.04,0.25
"BioShock 2","PS3","2010","Shooter","Take-Two Interactive",0.85,0.47,0.02,0.22,1.55
"BlazBlue: Continuum Shift","PS3","2010","Fighting","PQube",0.21,0.08,0.09,0.04,0.41
"Blood Drive","PS3","2010","Racing","Activision",0.07,0,0,0,0.07
"Blur","PS3","2010","Racing","Activision",0.22,0.37,0.02,0.13,0.74
"Brunswick Pro Bowling","PS3","2010","Sports","505 Games",0.1,0.06,0,0.03,0.19
"Buzz! The Ultimate Music Quiz","PS3","2010","Misc","Sony Computer Entertainment",0,0.25,0,0.08,0.34
"Cabela's Dangerous Hunts 2011","PS3","2010","Sports","Activision",0.26,0.04,0,0.03,0.33
"Cabela's North American Adventures","PS3","2010","Sports","Activision",0.11,0,0,0.01,0.11
"Call of Duty: Black Ops","PS3","2010","Shooter","Activision",5.98,4.44,0.48,1.83,12.73
"Castlevania: Lords of Shadow","PS3","2010","Action","Konami Digital Entertainment",0.5,0.37,0.1,0.16,1.12
"Clash of the Titans","PS3","2010","Action","Namco Bandai Games",0.09,0.16,0.01,0.06,0.33
"Create","PS3","2010","Action","Electronic Arts",0.11,0.03,0,0.02,0.16
"CSI: Fatal Conspiracy","PS3","2010","Adventure","Ubisoft",0.11,0.05,0,0.02,0.19
"DanceDanceRevolution","PS3","2010","Simulation","Konami Digital Entertainment",0.12,0.05,0,0.02,0.2
"Dante's Inferno","PS3","2010","Action","Electronic Arts",0.64,0.28,0.04,0.13,1.09
"Dark Void","PS3","2010","Action","Capcom",0.18,0.12,0,0.06,0.36
"Darksiders","PS3","2010","Action","THQ",0.01,0.01,0,0,0.02
"Dead Rising 2","PS3","2010","Action","Capcom",0.43,0.57,0.15,0.22,1.38
"Dead to Rights: Retribution","PS3","2010","Shooter","Namco Bandai Games",0.1,0.12,0.02,0.05,0.28
"Deadliest Catch: Sea of Chaos","PS3","2010","Sports","Crave Entertainment",0.08,0,0,0.01,0.08
"Deadly Premonition","PS3","2010","Action","Rising Star Games",0.08,0.05,0,0.02,0.15
"Def Jam Rapstar","PS3","2010","Misc","Konami Digital Entertainment",0.25,0.05,0,0.03,0.33
"Disney Sing It: Family Hits","PS3","2010","Misc","Disney Interactive Studios",0.11,0.04,0,0.02,0.17
"Disney Sing It: Party Hits","PS3","2010","Misc","Disney Interactive Studios",0.1,0.01,0,0.01,0.12
"DJ Hero 2","PS3","2010","Misc","Activision",0.47,0.19,0,0.09,0.75
"Dragon Age Origins: Awakening","PS3","2010","Role-Playing","Spike",0.24,0,0,0.02,0.26
"Dragon Ball: Raging Blast 2","PS3","2010","Fighting","Namco Bandai Games",0.42,0.2,0.11,0.09,0.83
"Dynasty Warriors: Gundam 3","PS3","2010","Action","Tecmo Koei",0.11,0.05,0.36,0.02,0.55
"EA Sports Active 2","PS3","2010","Sports","Electronic Arts",0.52,0.28,0,0.12,0.92
"EA Sports MMA","PS3","2010","Fighting","Electronic Arts",0.16,0.15,0.01,0.06,0.38
"Enslaved: Odyssey to the West","PS3","2010","Action","Namco Bandai Games",0.24,0.24,0.01,0.09,0.57
"ESA Game Pack","PS3","2010","Misc","Sony Computer Entertainment",0.09,0,0,0.01,0.1
"F1 2010","PS3","2010","Racing","Codemasters",0.25,0.76,0.08,0.27,1.35
"Fallout: New Vegas","PS3","2010","Role-Playing","Bethesda Softworks",1.52,1.08,0.1,0.47,3.17
"FIFA Soccer 11","PS3","2010","Sports","Electronic Arts",0.6,3.29,0.06,1.13,5.08
"Fist of the North Star: Ken's Rage","PS3","2010","Action","Ubisoft Annecy",0.06,0.03,0.55,0.02,0.66
"Front Mission Evolved","PS3","2010","Shooter","Square Enix",0.09,0.07,0.11,0.03,0.29
"Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin","PS3","2010","Misc","Unknown",0,0,0.03,0,0.03
"Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack","PS3","2010","Action","Namco Bandai Games",0,0,0.21,0,0.21
"Get Fit with Mel B","PS3","2010","Sports","Black Bean Games",0.15,0.17,0,0.07,0.38
"Ghostbusters: The Video Game (DS Version)","PS3","2010","Action","Take-Two Interactive",0.59,0.99,0.13,0.36,2.08
"God of War III","PS3","2010","Action","Sony Computer Entertainment",2.74,1.36,0.12,0.63,4.84
"Gran Turismo 5","PS3","2010","Racing","Sony Computer Entertainment",2.96,4.88,0.81,2.12,10.77
"Green Day: Rock Band","PS3","2010","Misc","MTV Games",0.19,0.16,0,0.07,0.42
"Greg Hastings Paintball 2","PS3","2010","Shooter","Majesco Entertainment",0.03,0,0,0,0.04
"Guitar Hero: Warriors of Rock","PS3","2010","Misc","Activision",0.33,0.35,0,0.14,0.82
"Hakuoki: Stories of the Shinsengumi","PS3","2010","Adventure","Idea Factory",0.02,0,0.03,0,0.05
"Harry Potter and the Deathly Hallows - Part 1","PS3","2010","Action","Electronic Arts",0.13,0.21,0,0.08,0.42
"Hasbro Family Game Night 3","PS3","2010","Misc","Electronic Arts",0.18,0.04,0,0.03,0.25
"Heavy Rain","PS3","2010","Adventure","Sony Computer Entertainment",1.29,1.27,0.06,0.5,3.12
"High Velocity Bowling","PS3","2010","Sports","Sony Computer Entertainment",0.13,0,0,0.01,0.15
"How to Train Your Dragon","PS3","2010","Action","Activision",0.12,0.04,0,0.02,0.18
"Hyperdimension Neptunia","PS3","2010","Role-Playing","Tecmo Koei",0.22,0.11,0.07,0.05,0.46
"International Cricket 2010","PS3","2010","Sports","Codemasters",0,0.15,0,0.05,0.2
"Iron Man 2","PS3","2010","Action","Sega",0.14,0.19,0,0.07,0.4
"James Bond 007: Blood Stone","PS3","2010","Shooter","Activision",0.18,0.38,0.02,0.13,0.72
"Jikkyou Powerful Pro Yakyuu 2010","PS3","2010","Sports","Konami Digital Entertainment",0,0,0.27,0,0.27
"John Daly's ProStroke Golf","PS3","2010","Sports","O-Games",0.09,0.02,0,0.01,0.11
"Just Cause 2","PS3","2010","Action","Square Enix",0.45,0.94,0.06,0.33,1.78
"Kane & Lynch 2: Dog Days","PS3","2010","Shooter","Square Enix",0.17,0.28,0.05,0.1,0.59
"Ken to Mahou to Gakuen Mono. 2G","PS3","2010","Role-Playing","Acquire",0,0,0.02,0,0.02
"Ken to Mahou to Gakuen Mono. 3","PS3","2010","Role-Playing","Acquire",0,0,0.07,0,0.07
"Kung Fu Rider","PS3","2010","Action","Sony Computer Entertainment",0.06,0.1,0.01,0.04,0.21
"Last Rebellion","PS3","2010","Role-Playing","Nippon Ichi Software",0.06,0.01,0.01,0.01,0.09
"Legend of the Guardians: The Owls of Ga'Hoole","PS3","2010","Action","Warner Bros. Interactive Entertainment",0.06,0.01,0,0.01,0.08
"LEGO Harry Potter: Years 1-4","PS3","2010","Action","Warner Bros. Interactive Entertainment",0.55,0.6,0,0.22,1.37
"Little League World Series Baseball 2010","PS3","2010","Sports","Activision",0.07,0,0,0.01,0.08
"Lost Planet 2","PS3","2010","Shooter","Capcom",0.29,0.34,0.2,0.13,0.96
"Lucha Libre AAA: Heroes del Ring","PS3","2010","Fighting","Konami Digital Entertainment",0.1,0,0,0.01,0.1
"Madden NFL 11","PS3","2010","Sports","Electronic Arts",2.04,0.15,0,0.19,2.38
"Mafia II","PS3","2010","Action","Take-Two Interactive",0.5,0.72,0.04,0.26,1.52
"MAG: Massive Action Game","PS3","2010","Shooter","Sony Computer Entertainment",0.77,0.3,0.09,0.16,1.32
"Majin and the Forsaken Kingdom","PS3","2010","Adventure","Namco Bandai Games",0.09,0.14,0.01,0.05,0.29
"Major League Baseball 2K10","PS3","2010","Sports","Take-Two Interactive",0.17,0,0,0.01,0.18
"Man vs. Wild","PS3","2010","Action","Abylight",0.07,0,0,0.01,0.08
"Marvel Super Hero Squad: The Infinity Gauntlet","PS3","2010","Action","THQ",0.12,0.03,0,0.02,0.18
"Medal of Honor","PS3","2010","Shooter","Electronic Arts",1.28,1.05,0.07,0.43,2.83
"Megamind: Ultimate Showdown","PS3","2010","Action","THQ",0.07,0.06,0,0.02,0.16
"MLB 10: The Show","PS3","2010","Sports","Sony Computer Entertainment",0.66,0,0,0.05,0.71
"ModNation Racers","PS3","2010","Racing","Sony Computer Entertainment",0.5,0.41,0.06,0.16,1.13
"Monopoly Streets","PS3","2010","Misc","Electronic Arts",0.16,0.18,0,0.07,0.41
"Monster Jam: Path of Destruction","PS3","2010","Racing","Activision",0.21,0.02,0,0.02,0.24
"MotoGP 09/10","PS3","2010","Racing","Capcom",0.05,0.13,0,0.04,0.22
"MySims SkyHeroes","PS3","2010","Action","Electronic Arts",0.08,0.02,0,0.01,0.11
"nail'd","PS3","2010","Racing","Deep Silver",0.08,0.02,0,0.02,0.12
"Naruto Shippuden: Ultimate Ninja Storm 2","PS3","2010","Fighting","Namco Bandai Games",0.42,0.47,0.15,0.18,1.22
"NatGeo Challenge! Wild Life","PS3","2010","Misc","Black Bean Games",0.05,0.03,0,0.01,0.1
"Naughty Bear","PS3","2010","Action","505 Games",0.18,0.18,0,0.07,0.44
"NBA 2K11","PS3","2010","Action","Take-Two Interactive",1.41,0.21,0.03,0.16,1.8
"NBA Jam","PS3","2010","Sports","Electronic Arts",0.22,0.12,0,0.06,0.4
"NCAA Football 11","PS3","2010","Sports","Electronic Arts",0.79,0,0,0.06,0.84
"Need for Speed: Hot Pursuit","PS3","2010","Racing","Electronic Arts",1.05,1.25,0.03,0.48,2.81
"NHL 11","PS3","2010","Sports","Electronic Arts",0.4,0.13,0,0.07,0.6
"NieR","PS3","2010","Role-Playing","Square Enix",0.17,0.2,0.2,0.07,0.64
"No More Heroes: Heroes' Paradise","PS3","2010","Action","Konami Digital Entertainment",0.1,0.04,0.04,0.02,0.2
"Nobunaga no Yabou: Tendou","PS3","2010","Strategy","Tecmo Koei",0,0,0.13,0,0.13
"PachiPara 15: Super Umi Monogatari in Okinawa 2","PS3","2010","Misc","Irem Software Engineering",0,0,0.02,0,0.02
"PDC World Championship Darts: Pro Tour","PS3","2010","Sports","O-Games",0,0.09,0,0.03,0.11
"Power Gig: Rise of the SixString","PS3","2010","Misc","Unknown",0.13,0,0,0.01,0.14
"Prince of Persia Trilogy","PS3","2010","Action","Ubisoft",0.17,0.25,0,0.09,0.51
"Prince of Persia: The Forgotten Sands","PS3","2010","Action","Ubisoft",0.19,0.36,0.01,0.13,0.7
"Prison Break: The Conspiracy","PS3","2010","Action","Deep Silver",0.05,0.16,0,0.05,0.26
"pro evolution soccer 2011","PS3","2010","Sports","Konami Digital Entertainment",0.29,1.18,0.54,0.41,2.42
"Pro Yaky? Spirits 2010","PS3","2010","Sports","Konami Digital Entertainment",0,0,0.21,0,0.21
"Pure Futbol","PS3","2010","Sports","Ubisoft",0.06,0.13,0,0.05,0.24
"Quantum Theory","PS3","2010","Shooter","Tecmo Koei",0.05,0.09,0.02,0.03,0.19
"R.U.S.E.","PS3","2010","Strategy","Ubisoft",0.18,0.22,0.02,0.09,0.51
"Racquet Sports","PS3","2010","Sports","Ubisoft",0.11,0.17,0,0.06,0.35
"Rapala Pro Bass Fishing 2010","PS3","2010","Sports","Activision",0.18,0.06,0,0.03,0.27
"Record of Agarest War 2","PS3","2010","Role-Playing","Compile Heart",0.09,0,0.04,0.01,0.14
"Red Dead Redemption","PS3","2010","Action","Take-Two Interactive",2.79,2.61,0.17,1.03,6.6
"Red Dead Redemption: Undead Nightmare","PS3","2010","Action","Take-Two Interactive",0.44,0.46,0.06,0.18,1.15
"Resonance of Fate","PS3","2010","Role-Playing","Sega",0.2,0.22,0.24,0.09,0.74
"Rock Band 3","PS3","2010","Misc","MTV Games",0.43,0.09,0,0.06,0.58
"Rock of the Dead","PS3","2010","Shooter","Conspiracy Entertainment",0.04,0,0,0,0.05
"Rugby League Live","PS3","2010","Sports","Home Entertainment Suppliers",0,0.02,0,0.01,0.03
